Time[s],Ecc[deg],Inc[deg],SMA[km],AOP[deg],RAAN[deg],MA[deg],Lat[deg],Lon[deg],Alt[km],x[km],y[km],z[km],vx[km/s],vy[km/s],vz[km/s]
4019,8.91911e-16,98.7089,7203.14,0,0.0458582,237.592,-56.7222,270.787,839.915,-3861.2,917.706,-6011.17,6.27983,0.608688,-3.94084
4079,1.28403e-16,98.7089,7203.14,0,0.0465426,241.138,-60.1087,268.591,841.046,-3477.7,952.363,-6235.69,6.51444,0.54898,-3.54932
4139,8.91911e-16,98.7089,7203.14,0,0.0472271,244.685,-63.4582,265.953,842.092,-3080.89,983.383,-6436.33,6.72411,0.487175,-3.14421
4199,9.19221e-16,98.7089,7203.14,0,0.0479115,248.231,-66.7556,262.688,843.036,-2672.28,1010.65,-6612.32,6.90803,0.423509,-2.72706
4259,9.16567e-16,98.7089,7203.14,0,0.048596,251.777,-69.9763,258.505,843.864,-2253.44,1034.05,-6762.99,7.06549,0.358226,-2.29946
4319,1.28403e-16,98.7089,7203.14,0,0.0492804,255.323,-73.0775,252.92,844.563,-1825.97,1053.5,-6887.76,7.1959,0.291574,-1.86306
4379,3.39469e-17,98.7089,7203.14,0,0.0499649,258.869,-75.981,245.122,845.124,-1391.5,1068.93,-6986.15,7.29876,0.223809,-1.41952
4439,1.32814e-16,98.7089,7203.14,0,0.0506493,262.415,-78.5369,233.781,845.537,-951.711,1080.28,-7057.8,7.37367,0.155188,-0.970552
4499,3.85582e-16,98.7089,7203.14,0,0.0513338,265.961,-80.4625,217.202,845.796,-508.276,1087.5,-7102.41,7.42034,0.0859751,-0.517864
4559,8.9611e-16,98.7089,7203.14,0,0.0520182,269.508,-81.3281,195.201,845.898,-62.8939,1090.56,-7119.83,7.4386,0.0164333,-0.0631927
4619,8.99593e-16,98.7089,7203.14,0,0.0527027,273.054,-80.8287,172.293,845.84,382.729,1089.47,-7109.98,7.42838,-0.0531712,0.391721
4679,1.2952e-16,98.7089,7203.14,0,0.0533871,276.6,-79.1512,154.068,845.625,826.886,1084.2,-7072.91,7.38971,-0.122573,0.845134
4739,1.45247e-16,98.7089,7203.14,0,0.0540716,280.146,-76.7347,141.437,845.254,1267.88,1074.8,-7008.75,7.32274,-0.191506,1.29531
4799,1.32814e-16,98.7089,7203.14,0,0.054756,283.692,-73.9083,132.813,844.733,1704.01,1061.3,-6917.75,7.22774,-0.259708,1.74053
4859,1.01841e-16,98.7089,7203.14,0,0.0554405,287.238,-70.852,126.714,844.071,2133.62,1043.73,-6800.26,7.10505,-0.326918,2.17908
4919,6.78938e-17,98.7089,7203.14,0,0.0561249,290.785,-67.6591,122.201,843.278,2555.06,1022.19,-6656.73,6.95516,-0.39288,2.60929
4979,8.8262e-16,98.7089,7203.14,0,0.0568094,294.331,-64.38,118.717,842.365,2966.72,996.734,-6487.7,6.77864,-0.45734,3.0295
5039,8.91911e-16,98.7089,7203.14,0,0.0574938,297.877,-61.0432,115.926,841.346,3367.02,967.475,-6293.84,6.57617,-0.520054,3.43811
5099,1.02647e-15,98.7089,7203.14,0,0.0581783,301.423,-57.6658,113.622,840.237,3754.42,934.52,-6075.87,6.34851,-0.580782,3.83356
5159,6.78938e-17,98.7089,7203.14,0,0.0588627,304.969,-54.2586,111.668,839.055,4127.45,897.995,-5834.64,6.09654,-0.639291,4.21433
5219,2.90495e-16,98.7089,7203.14,0,0.0595472,308.515,-50.8287,109.974,837.817,4484.67,858.041,-5571.06,5.82122,-0.695359,4.57896
5279,1.45247e-16,98.7089,7203.14,0,0.0602316,312.061,-47.3811,108.478,836.543,4824.72,814.809,-5286.15,5.52362,-0.748771,4.92605
5339,6.78938e-17,98.7089,7203.14,0,0.0609161,315.608,-43.9192,107.134,835.252,5146.3,768.465,-4980.99,5.20487,-0.799322,5.25428
